source,Target,weight
73041,73019,3
43229,43209,2
58219,58111,5
22169,23011,1
57131,58011,5
59371,59361,2
25221,24509,2
23261,23219,1
75061,76289,2
53091,56021,4
67499,67281,1
65459,65449,1
12109,12099,9
27429,22239,1
52161,52209,1
65341,65331,3
3239,3223,4
54221,54231,11
68131,68141,2
46659,46681,2
11181,11369,8
8031,47569,1
27101,44549,1
64409,64069,4
22009,22439,1
14191,14201,5
59729,59031,1
59761,59719,6
26059,26069,1
66381,66419,1
2111,4151,1
54009,54339,5
27141,27501,1
84371,84381,2
75089,75209,1
57139,57129,6
20329,20319,1
20231,20121,3
23519,23369,1
64499,64109,1
59381,59171,2
14021,14379,5
27121,27171,1
24301,24641,1
28491,28501,12
53051,53051,1
84259,84229,1
15059,15049,12
83201,83063,1
67739,67729,1
52169,52219,1
22401,22391,2
47591,46779,3
64069,64059,2
22499,21361,2
81201,81211,3
27441,27431,3
26419,26429,3
77009,78109,9
78051,78169,1
44399,44299,4
17179,17259,2
2061,2029,1
44111,44471,1
51011,52071,9
52059,52539,1
22469,3223,1
70161,70171,11
46631,46331,3
96381,96401,1
84069,84289,2
59611,59061,1
17399,17259,1
67151,64409,1
82069,81199,1
22511,22531,1
53399,53399,1
64201,64211,3
76519,75461,1
45031,45159,1
62111,62121,10
50201,50211,5
66301,66311,1
76549,76191,3
97089,97079,2
84301,84311,3
76291,76301,1
18269,18249,2
72039,84709,6
55201,55509,1
42071,42259,1
96439,96429,1
96361,96389,1
41089,41079,16
46531,46541,13
53129,53319,3
30031,30041,2
15139,15181,3
70011,70021,3
28109,28189,4
17369,17309,2
27511,27521,1
55319,55309,4
50119,50069,3
53171,53181,1
43811,43821,4
76069,96289,3
14009,14129,4
98011,98091,12
54491,54501,6
16239,16229,3
40239,40089,3
21551,21561,3
53241,53231,5
24709,25691,1
40379,40369,1
66419,66409,2
78221,78209,1
58289,58279,3
1559,1519,1
84031,84041,13
14119,91081,1
14211,11511,3
44271,44281,6
58419,58409,3
65169,65241,1
46151,46161,3
23481,23151,1
75249,75031,5
31079,31069,2
92219,92079,2
80251,81169,4
23049,22471,3
43089,43069,11
46009,46291,2
84431,96101,1
83269,83249,1
43671,44171,3
52089,52321,5
28371,28381,1
77209,77199,7
17331,20281,1
12031,12169,2
27471,27461,1
93129,93029,2
44461,44451,9
15041,17121,1
68011,68021,2
29121,29051,1
45009,44199,1
81161,80259,6
93049,93039,15
31019,27129,2
70269,70379,1
28239,28309,1
83309,92279,3
11149,11139,5
61041,62111,9
97081,97091,2
66399,66029,1
23241,23251,1
7589,1059,2
14381,14031,4
70031,70119,6
92121,92131,7
76111,76121,4
21459,21239,3
21069,21109,3
23449,23349,1
59101,59121,3
26021,26031,1
12139,12129,2
76141,76151,2
70371,71161,5
29071,29081,1
95191,95189,1
67151,67161,1
84009,84359,10
43171,43419,8
80181,80141,1
46761,46771,6
