ServiceNo	Direction	BusStopCode	Distance
110	1	95029	18.9
110	1	95129	19.7
110	1	95019	20.8
110	1	95209	22.3
110	1	95159	23.7
110	1	65191	35.4
110	1	67591	36.7
110	1	67421	37.2
110	1	67311	37.4
110	1	67769	37.7
110	1	67371	38.1
110	1	67361	38.5
110	1	67351	38.8
110	1	67341	39.3
110	1	67199	39.6
110	1	67759	39.9
111	1	11009	0
111	1	11359	0.2
111	1	11189	0.6
111	1	11179	0.8
111	1	11169	1.4
111	1	11159	2.2
111	1	11149	2.6
111	1	11139	2.9
111	1	10299	3.4
111	1	10289	3.7
111	1	10321	4.1
111	1	13031	4.7
111	1	13041	5.2
111	1	13201	5.6
111	1	9159	6.1
111	1	9169	6.4
111	1	9179	6.7
111	1	9048	7.2
111	1	9038	7.8
111	1	8138	8.2
111	1	8057	8.6
111	1	8069	9.1
111	1	4179	9.4
111	1	2049	9.8
111	1	2151	10.4
111	1	2161	11.1
111	1	2171	11.4
111	1	2051	11.8
111	1	2061	12.1
111	1	4111	12.8
111	1	4121	13.2
111	1	8041	13.5
111	1	8031	13.8
111	1	8111	14.3
111	1	8121	14.6
111	1	9059	14.9
111	1	9022	15.4
111	1	9111	15.9
111	1	9121	16.2
111	1	9131	16.8
111	1	13209	17
111	1	13049	17.3
111	1	13039	17.8
111	1	10329	18.5
111	1	10281	18.8
111	1	10291	19.2
111	1	11131	19.7
111	1	11141	19.9
111	1	11151	20.5
111	1	11161	21.1
111	1	11171	21.6
111	1	11181	22
111	1	11351	22.5
111	1	11009	22.8
112	1	64009	0
112	1	64041	0.7
112	1	64051	1.1
112	1	64329	1.5
112	1	64319	1.8
112	1	64309	2.1
112	1	64239	2.5
112	1	64209	3
112	1	63139	3.3
112	1	63239	3.9
112	1	63229	4.2
112	1	63031	4.9
112	1	63041	5.2
112	1	63051	5.4
112	1	63349	5.9
112	1	63339	6.5
112	1	63329	6.8
112	1	63391	7.2
112	1	63381	7.5
112	1	63371	7.9
112	1	64411	8.2
112	1	64479	8.5
112	1	64489	8.8
112	1	64509	9.1
112	1	64519	9.5
112	1	64471	9.9
112	1	64419	10.3
112	1	63379	10.6
112	1	63389	11
112	1	63399	11.3
112	1	63321	11.5
112	1	63331	11.9
112	1	63341	12.3
112	1	63059	12.8
112	1	63049	13.2
112	1	63039	13.6
112	1	63221	14.3
112	1	63231	14.6
112	1	63131	15.1
112	1	64201	15.5
112	1	64231	16
112	1	64301	16.4
112	1	64311	16.7
112	1	64321	17
112	1	64059	17.3
112	1	64049	17.6
112	1	64009	18.3
112A	1	64009	0
112A	1	64041	0.7
112A	1	64051	1.1
112A	1	64329	1.5
112A	1	64319	1.8
112A	1	64309	2.1
112A	1	64239	2.5
112A	1	64209	3
112A	1	63139	3.3
112A	1	63239	3.9
112A	1	63229	4.2
112A	1	63031	4.9
113	1	64009	0
113	1	64041	0.7
113	1	64051	1.1
113	1	64071	1.6
113	1	64039	2.1
113	1	64371	2.5
113	1	64381	2.8
113	1	64391	3.1
113	1	63351	3.4
113	1	63341	3.8
113	1	63059	4.3
113	1	63049	4.7
113	1	63039	5.1
113	1	63221	5.8
113	1	63231	6.1
113	1	63261	6.3
113	1	63271	6.6
113	1	63281	6.9
113	1	63291	7.3
113	1	63301	7.6
113	1	62221	7.9
113	1	62219	8.3
113	1	62059	8.7
113	1	62229	9.1
113	1	63309	9.5
113	1	63299	9.8
113	1	63289	10.1
113	1	63279	10.4
113	1	63269	10.7
113	1	63239	10.9
113	1	63229	11.2
113	1	63031	11.9
113	1	63041	12.2
113	1	63051	12.4
113	1	63349	12.9
113	1	63359	13.4
113	1	64399	13.7
113	1	64389	14.1
113	1	64379	14.4
113	1	64031	14.7
113	1	64079	15.2
113	1	64059	15.7
113	1	64049	16
113	1	64009	16.7
113A	1	63039	0
113A	1	63221	0.7
113A	1	63231	1
113A	1	63261	1.2
113A	1	63271	1.5
113A	1	63281	1.8
113A	1	63291	2.2
113A	1	63301	2.5
113A	1	62221	2.8
113A	1	62219	3.2
113A	1	62059	3.6
113A	1	62229	4
113A	1	63309	4.4
113A	1	63299	4.7
113A	1	63289	5
113A	1	63279	5.3
113A	1	63269	5.6
113A	1	63239	5.8
113A	1	63229	6.1
113A	1	63031	6.8
115	1	63221	0
115	1	63231	0.3
115	1	63261	0.5
115	1	63271	0.8
115	1	63281	1.1
115	1	63099	1.5
115	1	63089	1.9
115	1	63079	2.3
115	1	63241	2.8
115	1	63059	3.2
115	1	63049	3.6
115	1	63039	4
115	1	63221	4.7
116	1	64009	0
116	1	64551	0.3
116	1	64529	0.5
116	1	64339	0.8
116	1	64411	1.1
116	1	64479	1.4
116	1	64489	1.7
116	1	64499	2
116	1	66439	2.4
116	1	66429	3
116	1	66101	3.5
116	1	63219	4
116	1	63209	4.3
116	1	63199	4.7
116	1	63189	5
116	1	63179	5.2
116	1	63369	5.6
116	1	66379	6
116	1	66359	6.3
116	1	62141	6.6
116	1	63141	7
116	1	63361	7.5
116	1	63181	7.9
116	1	63191	8.3
116	1	63201	8.5
116	1	63211	8.8
116	1	66109	9.1
116	1	66421	9.9
116	1	66431	10.3
116	1	64491	10.9
116	1	64481	11.1
